"A111A,A131A,A211A,A221A,A511A,H000C,H010A,H010C,H020A,H020B,H203C,I100B,I100C,I200C,J000A,J203A,J400A,J500A,J600A,O010A,O020A,P000A,P030A,P030B,P030C,P100A,Q000B,Q000D,Q010A,Q020A,Q030A,Q400A,Q900A,A112A,A113A,A114A,A115A,A118A,A119A,A143A,A144A,A145A,A146A,A148A,A149A,A151A,A153A,A154A,A156A,A158A,A159A,A171A,A173A,A174A,A175A,A176A,A177A,A181A,A192A,A193A,A195A,A197A,A201A,A204A,A213A,A215A,A216A,A217A,A218A,A219A,A226A,A227A,A228A,A229A,A231A,A238A,A242A,A243A,A244A,A245A,A247A,A433A,A529A,A534A,A752A,Ganancia,ID_ESTRATO_2.0,ID_ESTRATO_3.0,ID_ESTRATO_4.0,ID_ESTRATO_99.0"
"44596.605,19894.369,714.257,724.279,1.965,30279.0,102638.0,11949.0,117572.0,99242.0,1843.0,10950.0,1444.0,455.0,5646.232,353.74,63.348,102.641,101.631,33997.807,93.836,69.314,0.001,0.001,0.0,2.001,2607.088,134.767,14343.337,8570.693,2596.17,399.08,683.686,76.234,0.0,0.21,0.0,0.618,0.375,83.02,6.265,94.287,50.34,10.714,1.818,11.642,48.309,8.897,15.59,11.651,47.895,55011.126,47433.583,92723.46,163957.641,62548.421,22.855,1.8,1.762,0.096,5.409,7.571,44.61,85181.025,1.604,2.686,0.01,3.59,22.599,0.376,53.937,32.229,9.763,1.501,31.82,2.571,113862.173,32.162,59.63,2.724,10.923,371.578,9.804,46.671,74.811,20448.420000000002,0,0,0,1"
"6790.579,3057.127,109.039,107.87,1.905,5796.0,16930.0,1477.0,31229.0,26910.0,365.0,175.0,18.0,21.0,787.171,58.362,4.464,11.308,2.23,5632.538,9.796,3.287,0.001,0.001,0.0,0.001,483.466,10.23,2482.551,3198.516,463.807,51.08,121.252,82.946,0.0,0.144,0.0,1.316,0.207,87.284,7.414,99.309,64.398,5.302,1.437,8.724,46.144,3.865,13.83,9.326,14.789,46495.629,42572.402,73782.554,124067.358,28788.732,21.082,0.283,0.93,0.236,4.402,8.862,45.02,63041.345,1.606,1.726,0.034,3.567,15.363,0.207,39.298,50.632,7.342,0.809,33.4,1.919,130267.786,36.559,93.029,1.708,8.295,358.753,7.653,50.151,48.394,3084.0040000000004,0,0,0,0"
"14565.537,6498.113,233.411,236.538,0.06,12350.0,39837.0,3566.0,45498.0,36714.0,754.0,1436.0,220.0,124.0,1934.396,139.132,17.081,32.504,64.668,11762.084,23.315,42.242,0.0,0.0,0.0,2.0,834.959,87.498,4608.335,3179.534,884.173,214.282,329.281,80.753,0.0,0.16,0.0,0.674,0.464,83.239,7.193,97.721,52.102,9.568,1.68,8.951,50.946,7.888,19.306,13.285,37.126,48557.773,41978.622,94008.108,131741.546,33044.91,23.972,3.343,0.744,0.055,3.649,7.301,44.613,74412.975,1.605,2.533,0.014,3.592,17.972,0.465,50.006,34.502,9.594,2.325,31.23,3.573,105532.265,31.639,63.27,2.567,7.195,344.54,9.06,45.413,70.512,6733.759,1,0,0,0"
"16045.453,7096.247,307.512,311.929,0.0,8866.0,32968.0,4038.0,36315.0,31487.0,548.0,4815.0,393.0,310.0,2036.562,122.957,24.06,39.436,17.796,12362.762,60.545,15.682,0.0,0.0,0.0,0.0,919.081,32.442,5255.079,1771.205,873.834,110.655,167.217,77.048,0.0,0.377,0.0,0.496,0.379,81.079,6.037,92.423,48.444,12.883,1.936,12.248,47.079,10.947,13.295,7.546,65.678,61773.902,51918.784,105633.162,178852.727,93338.983,22.757,0.874,1.417,0.034,5.604,6.36,44.226,94663.327,1.924,3.76,0.0,4.333,21.781,0.38,64.259,21.658,10.685,1.353,31.278,2.045,109093.686,32.751,50.968,3.814,17.581,420.042,11.238,45.514,86.773,7256.172999999999,0,1,0,0"
"7195.036,3242.882,64.295,67.942,0.0,3267.0,12903.0,2868.0,4530.0,4131.0,176.0,4524.0,813.0,0.0,888.103,33.289,17.743,19.393,16.937,4240.423,0.18,8.103,0.0,0.0,0.0,0.0,369.583,4.597,1997.372,421.438,374.356,23.063,65.936,58.935,0.0,0.003,0.0,0.119,0.346,83.217,3.748,76.555,19.893,13.035,2.184,22.227,46.316,10.851,8.808,15.233,0.0,68829.187,59015.731,87602.632,160861.345,120000.0,22.471,1.907,4.604,0.002,8.051,8.761,45.071,142406.552,0.894,2.231,0.0,1.983,40.598,0.346,69.301,14.622,12.989,0.8,32.726,2.288,126566.178,27.76,40.058,2.357,0.248,349.137,12.823,48.646,112.515,3374.4839999999995,0,0,1,0"
"12010.323,4965.595,241.157,241.157,0.0,4907.0,18249.0,1904.0,10701.0,7698.0,316.0,4500.0,318.0,0.0,1026.628,55.869,18.695,20.402,8.227,11926.781,56.44,0.0,0.0,0.0,0.0,0.0,437.928,12.371,1919.414,5121.483,688.228,26.376,104.655,99.304,0.0,0.47,0.0,0.01,0.216,77.641,5.442,85.732,31.69,16.917,1.987,10.433,55.342,14.93,28.063,6.6,0.0,56256.672,45089.037,97844.133,156869.24,0.0,14.573,0.801,0.0,0.0,0.0,0.0,41.344,147050.314,2.017,3.068,0.0,4.857,0.0,0.217,24.42,65.158,8.756,0.336,32.486,1.331,232769.367,15.981,65.445,3.068,22.262,294.298,5.571,48.118,63.174,4945.646999999999,0,0,0,1"
"1892.194,911.098,22.815,22.815,0.0,2593.0,4700.0,455.0,7002.0,4864.0,93.0,24.0,6.0,0.0,220.296,21.583,2.934,5.013,1.383,1888.768,1.607,0.0,0.0,0.0,0.0,0.0,156.739,2.587,534.439,2465.852,214.15,4.949,39.436,99.819,0.0,0.085,0.0,0.008,0.088,82.256,9.797,99.744,59.683,7.947,2.276,9.681,37.349,5.671,30.534,20.0,0.0,46871.489,40711.525,86678.715,219666.667,0.0,22.454,0.628,0.0,0.0,0.0,0.0,48.15,77659.223,1.206,0.7,0.0,2.504,0.0,0.088,16.4,75.667,6.571,0.152,36.495,1.21,277772.417,28.244,172.225,0.7,6.326,297.622,4.81,57.468,27.958,938.2990000000001,0,0,0,0"
"4124.856,1750.955,48.933,48.933,0.0,1363.0,6773.0,632.0,2893.0,2162.0,167.0,409.0,80.0,0.0,384.998,27.575,6.704,9.609,3.196,4119.59,0.901,0.0,0.0,0.0,0.0,0.0,157.147,4.905,547.097,1781.737,255.086,10.833,28.559,99.872,0.0,0.022,0.0,0.025,0.081,74.065,7.162,95.185,28.488,18.773,2.496,9.331,66.8,16.277,25.268,16.36,0.0,56843.053,43714.242,110300.0,155081.8,0.0,16.218,0.83,0.0,0.0,0.0,0.0,42.449,172422.944,1.187,1.865,0.0,2.795,0.0,0.081,20.855,67.919,9.724,0.413,33.101,1.089,258327.129,13.263,63.598,1.865,1.674,258.992,5.99,49.478,66.746,1788.121,1,0,0,0"
"3412.677,1638.415,134.437,134.437,0.0,623.0,5013.0,489.0,797.0,663.0,54.0,1702.0,127.0,0.0,303.191,6.582,8.675,5.78,3.269,3349.742,53.932,0.0,0.0,0.0,0.0,0.0,94.963,2.794,626.757,750.733,170.203,6.365,25.804,98.156,0.0,1.58,0.0,0.0,0.264,74.576,2.171,76.057,10.433,23.253,1.906,9.755,77.143,21.347,16.813,6.944,0.0,60480.95,45742.869,94028.571,131533.625,0.0,17.088,1.078,0.0,0.0,0.0,0.0,48.01,214480.298,4.003,8.509,0.0,8.205,0.0,0.268,39.672,47.519,10.773,0.403,38.148,1.633,206815.29,18.366,46.294,8.509,39.3,349.626,6.011,61.676,103.706,1612.369,0,1,0,0"
"2580.596,665.127,34.972,34.972,0.0,328.0,1763.0,328.0,9.0,9.0,2.0,2365.0,105.0,0.0,118.143,0.129,0.382,0.0,0.379,2568.681,0.0,0.0,0.0,0.0,0.0,0.0,29.079,2.085,211.121,123.161,48.789,4.229,10.856,99.538,0.0,0.0,0.0,0.0,0.462,88.555,0.109,41.773,0.212,11.335,0.0,18.605,100.0,11.335,0.0,4.251,0.0,67012.479,59410.562,64500.0,175221.053,0.0,6.168,0.321,0.0,0.0,0.0,0.0,25.774,156795.615,1.355,8.783,0.0,5.258,0.0,0.462,53.025,30.933,12.254,1.062,21.196,2.727,93860.443,8.181,15.429,8.783,0.0,295.493,7.303,26.897,167.052,606.8580000000002,0,0,1,0"
